769,886,788,446,991,383,157,437,220,550
671,912,539,717,95,240,160,403,788,26
676,999,200,224,755,870,883,169,243,1
284,553,113,197,838,238,213,475,74,19
890,2,219,641,600,276,540,154,585,810
984,232,439,925,184,850,199,924,166,968
917,712,201,791,591,255,998,390,480,228
713,136,16,328,457,70,160,955,659,814
752,516,539,262,287,424,280,186,91,17
147,98,970,26,133,87,858,500,827,749
259,438,654,583,300,305,932,288,927,679
799,903,883,770,698,815,253,352,222,32
866,196,816,387,889,376,613,734,982,636
84,121,457,516,292,251,303,703,907,681
17,868,989,568,226,853,477,416,739,276
469,731,283,8,149,271,285,638,955,471
581,670,19,838,691,774,398,152,458,705
962,264,73,116,135,845,213,888,737,684
262,846,202,755,320,981,63,255,224,134
646,911,919,838,462,280,613,324,777,121
769,73,725,643,285,288,701,420,788,575
29,691,357,167,889,706,253,534,670,400
526,604,127,314,525,615,937,466,205,690
707,205,322,442,561,145,605,453,337,175
671,922,603,195,414,783,49,792,825,323
16,395,203,949,449,265,819,93,837,339
659,742,466,371,375,819,699,723,65,229
411,82,12,791,891,399,190,441,272,869
677,850,492,304,476,859,639,597,446,915
581,566,190,466,864,634,713,255,652,287
52,832,615,345,108,383,578,383,30,693
88,69,156,583,166,112,602,762,25,326
861,256,890,927,984,236,156,358,642,843
93,258,316,712,534,813,387,171,337,34
862,384,994,119,221,170,184,211,277,826
722,874,629,294,234,141,234,698,697,939
403,221,706,274,112,166,914,608,487,862
903,406,884,121,459,525,181,246,569,722
17,590,55,951,133,802,359,70,751,809
439,782,41,195,274,293,453,33,318,915
949,635,853,132,592,735,255,638,795,340
163,575,611,908,90,79,284,942,300,353
683,857,548,634,908,357,344,96,926,805
261,860,385,93,822,226,882,278,965,494
839,544,658,541,67,500,799,234,581,723
678,381,645,915,672,33,537,189,161,39
208,115,886,141,958,1000,599,252,704,241
686,806,715,723,381,932,270,342,202,461
477,172,429,115,419,899,770,452,369,77
434,476,545,964,827,828,269,911,125,217
443,634,433,361,698,965,273,968,471,522
441,270,979,105,935,852,500,553,784,38
73,955,387,765,622,11,563,524,812,956
256,569,246,995,866,152,468,45,598,175
81,125,930,15,957,24,357,350,446,874
29,291,538,155,419,283,807,455,669,1000
112,678,718,146,832,782,17,252,709,143
918,208,25,244,287,85,147,391,164,259
955,632,968,309,993,437,9,681,486,923
858,640,286,505,497,340,675,348,578,82
242,513,677,444,475,439,344,716,237,193
826,401,392,737,148,847,644,467,567,525
599,85,643,120,130,136,762,957,954,575
730,825,597,401,185,49,125,732,697,332
76,496,515,184,511,248,819,699,263,616
375,76,50,418,600,812,762,87,722,553
550,182,512,635,857,713,119,337,876,927
581,500,616,590,291,118,359,384,163,331
19,592,706,440,528,139,391,316,100,866
380,825,494,540,797,144,112,191,406,550
587,912,748,672,354,977,904,555,207,904
751,618,605,149,706,874,304,33,377,64
515,947,983,239,204,807,181,918,116,892
746,943,616,474,169,630,134,774,420,390
56,69,772,445,243,598,742,524,634,795
0,592,477,217,212,731,957,355,951,972
309,736,851,68,551,855,375,140,345,25
429,107,600,559,880,254,247,197,579,209
931,143,14,211,899,208,882,956,605,777
382,742,857,925,940,67,75,263,715,755
898,390,694,834,488,550,239,92,559,229
974,166,726,74,710,774,45,681,179,221
453,484,313,678,522,837,641,282,306,232
870,699,787,930,886,180,453,576,871,109
751,522,234,617,454,570,64,59,198,400
95,257,375,385,218,198,446,697,705,335
78,260,982,347,701,428,783,764,655,293
447,215,446,153,740,599,168,738,100,29
327,652,277,773,205,210,723,748,141,500
648,327,936,224,849,541,120,812,677,592
617,212,384,294,331,837,69,638,830,689
360,394,523,87,669,64,385,929,110,589
598,550,561,591,953,80,493,431,851,736
294,284,144,50,279,898,984,880,165,168
726,913,731,884,401,710,713,529,706,233
254,174,992,951,690,361,445,329,542,577
294,989,603,758,805,280,58,903,588,951
327,511,934,98,379,937,12,834,932,86
646,502,572,201,741,308,218,693,711,155
930,691,608,146,735,250,646,344,705,32
444,101,127,140,226,931,369,747,632,741
633,111,665,240,584,862,104,364,114,587
833,891,75,588,646,542,487,172,884,35
392,416,961,961,848,868,732,681,394,385
730,346,7,921,400,618,328,250,528,936
892,264,11,786,161,669,842,841,191,388
20,814,402,515,542,937,676,811,653,467
82,218,269,772,259,309,123,638,167,854
280,680,808,519,997,893,504,319,438,314
20,454,357,165,437,282,27,683,229,715
372,210,853,174,92,182,139,19,251,635
212,52,344,598,301,717,281,245,915,364
551,768,381,420,657,666,682,32,175,303
149,255,153,515,868,224,173,40,657,239
418,549,154,846,834,685,763,360,503,498
675,664,617,564,850,204,372,121,307,133
615,769,394,230,741,418,800,419,451,886
612,324,833,383,664,693,546,95,591,992
718,52,830,763,508,550,704,181,920,591
266,311,9,387,529,901,208,160,191,62
821,751,41,162,249,558,68,89,129,369
883,399,393,633,355,647,453,691,431,899
829,636,36,769,923,280,995,531,945,125
64,722,531,429,413,291,540,195,299,77
274,682,659,584,512,470,463,748,8,863
499,297,657,955,751,275,606,12,686,324
715,339,482,444,4,848,817,907,340,531
533,191,705,647,512,543,775,273,986,317
362,256,628,343,215,872,962,130,214,723
366,72,890,858,997,888,229,138,187,352
135,669,803,412,522,73,137,39,388,410
14,92,453,184,266,336,508,863,781,40
666,609,961,540,472,438,688,312,219,960
707,100,32,265,377,385,331,274,148,292
508,915,837,624,575,792,136,644,750,192
408,116,276,194,622,935,443,989,598,252
480,991,369,848,284,724,122,101,752,549
285,225,23,237,467,173,367,469,118,106
332,971,103,988,55,241,514,540,320,648
182,685,644,507,936,942,966,490,170,844
186,719,707,343,878,967,134,194,86,598
592,45,525,493,456,862,285,289,785,920
999,672,673,883,912,457,758,869,304,670
667,115,280,957,458,20,329,160,145,674
110,628,659,872,670,20,923,282,48,606
320,438,97,826,973,249,809,270,36,997
339,211,985,996,300,985,890,488,531,651
494,164,115,438,695,339,955,259,262,235
320,521,232,360,204,802,445,649,822,529
581,859,280,665,80,804,844,274,705,825
81,389,521,631,865,977,244,477,573,138
329,523,507,684,740,41,88,384,117,617
323,623,572,854,394,190,763,413,639,904
503,166,41,229,923,722,749,681,426,424
793,412,80,42,111,520,201,217,337,800
896,632,661,389,170,202,127,274,501,972
125,652,17,906,516,257,74,87,285,786
226,444,615,649,631,22,992,609,277,406
353,703,718,681,245,321,259,81,786,311
297,536,145,8,418,616,418,610,994,344
425,939,673,499,939,278,505,346,836,313
785,207,967,742,734,86,570,385,952,126
310,453,430,982,486,515,677,579,999,742
15,549,663,364,304,343,647,434,391,180
151,251,267,448,431,972,478,760,207,408
260,742,765,731,414,260,925,62,967,329
732,792,26,607,361,945,487,808,67,892
219,775,458,390,886,711,610,8,821,114
53,396,947,75,630,746,288,214,890,652
860,293,159,219,704,522,651,580,845,82
268,636,637,673,809,883,36,773,877,279
154,700,890,836,755,184,481,838,975,868
237,437,983,536,904,199,906,281,796,636
444,311,803,844,555,490,785,359,671,681
961,439,794,813,818,171,232,200,615,615
3,149,656,46,200,839,460,801,647,597
661,1,861,163,37,848,96,779,70,444
234,389,430,434,406,485,302,729,231,473
230,177,151,529,925,907,747,340,76,261
371,889,90,390,37,813,632,676,988,751
265,920,169,278,657,115,742,859,122,902
496,284,54,466,72,449,994,81,931,361
948,937,451,198,267,997,861,480,435,752
343,713,717,318,415,762,199,40,796,451
264,129,798,680,696,515,576,124,452,854
896,551,179,879,692,730,532,485,653,293
871,866,358,318,564,673,530,225,911,327
919,705,931,709,660,768,825,61,758,99
610,914,568,241,638,533,209,702,83,931
456,595,588,899,802,572,192,654,490,294
1,934,681,550,410,247,452,681,380,112
907,201,468,377,102,853,918,300,942,707
359,241,601,858,369,786,890,61,372,413
165,835,307,904,996,364,167,385,902,532
90,539,388,914,824,949,727,938,112,367
115,965,156,373,406,839,907,403,351,601
145,197,7,774,567,117,913,0,367,511
137,498,491,952,814,313,740,951,399,783
929,138,205,503,330,828,442,725,201,372
596,695,331,965,253,841,7,248,580,895
132,835,726,310,512,313,97,465,878,688
653,138,60,102,175,437,821,565,460,491
780,607,917,264,701,483,874,122,683,970
